rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
4,201,-6.60607895681176,0,0,1.43108245748886,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
5,201,-6.60415497886968,0,0,1.77863234033364,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
6,201,-6.46541102059931,0,0,1.87765895776259,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
7,201,-5.97825012050942,0,0,2.29664955705555,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
8,201,-6.10064948820575,0,0,2.08996657518102,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
9,201,-6.34212836381323,0,0,2.06776180840053,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
10,201,-6.22347538681445,0,0,1.95186062837027,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
1,202,-7.27499898206783,0,0,1.79609218568731,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
2,202,-7.0757797870612,0,0,1.80321177902124,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
3,202,-6.98501285223343,0,0,2.209076347523,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
4,202,-7.90855350680017,0,0,1.84226757575121,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
5,202,-7.04802676058133,0,0,1.93699520591478,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
6,202,-7.16433619947173,0,0,1.92663821623596,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
7,202,-7.16787137412421,0,0,1.62086618915039,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
8,202,-6.49772942064807,0,0,2.15864966539076,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
9,202,-7.487838440146,0,0,2.5498081310537,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
10,202,-6.79033883958082,0,0,1.82604004072297,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
1,203,-7.4341126677056,0,0,1.67038028737404,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
2,203,-6.52553658947358,0,0,3.36759241451689,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
3,203,-6.83303072516163,0,0,2.09594307449049,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
