rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
4,303,-7.69914237931567,0,0,1.58642118797536,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
5,303,-7.88638052078038,0,0,2.60954016290965,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
6,303,-7.94871219609872,0,0,2.06498147211023,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
7,303,-8.09324713146582,0,0,1.87956202447778,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
8,303,-8.44234459665078,0,0,1.64992159284621,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
9,303,-7.77826608636396,0,0,1.97147680169851,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
10,303,-8.52562251738112,0,0,1.74680666877117,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
1,304,-7.58483208765873,0,0,1.74301069365082,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
2,304,-8.08091896962954,0,0,1.19004900913596,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
3,304,-7.72790277370777,0,0,1.97422072922459,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
4,304,-7.71252660847922,0,0,1.02481927185408,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
5,304,-7.97650259730504,0,0,1.30025553053616,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
6,304,-8.01248234304594,0,0,1.22418481034473,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
7,304,-8.05907166835519,0,0,1.42837514624371,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
