rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
7,201,-6.79580031252183,0,0,1.31615094711959,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
8,201,-7.40480515880451,0,0,1.45025992470355,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
9,201,-7.26896448669802,0,0,1.57698264802141,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
10,201,-7.01907412330171,0,0,1.7800021407683,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
1,202,-8.02952440726671,0,0,1.46690953486604,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
2,202,-7.97957843093266,0,0,1.42795731646451,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
3,202,-7.75090690906147,0,0,2.10104598826861,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
4,202,-7.4131048932889,0,0,1.62693774388493,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
5,202,-7.25534095465133,0,0,1.86710313530001,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
6,202,-7.46689448079322,0,0,2.06387449414945,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
7,202,-7.55851159609539,0,0,1.9788682225565,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
8,202,-6.97482401736682,0,0,1.76353476806693,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
9,202,-7.67420895304724,0,0,1.60376196534703,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
10,202,-7.39734419263368,0,0,1.39711574210632,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
1,203,-8.18887246289359,0,0,1.11953503198565,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
2,203,-8.09786644626615,0,0,1.35587065428474,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
3,203,-7.46117088063087,0,0,2.47086380034834,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
4,203,-7.61708095914019,0,0,2.22065173303457,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
5,203,-7.5696319415393,0,0,3.46718619283796,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
6,203,-7.99350105624204,0,0,1.49845312665487,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
7,203,-8.02946030837373,0,0,1.64597314876072,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
8,203,-7.89993501942193,0,0,1.9299030742353,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
9,203,-7.99054315331575,0,0,1.92646561617266,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
10,203,-8.19903272488577,0,0,1.47380057778934,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
1,204,-7.35932670460617,0,0,1.41829409323665,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
2,204,-8.07042940519956,0,0,1.13521882743498,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
3,204,-7.19338461933593,0,0,1.94887404576716,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
4,204,-7.6306336118614,0,0,1.2284692315772,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
5,204,-7.58323014427499,0,0,1.41710640743576,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
6,204,-7.05218061073675,0,0,1.75379857061982,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
