rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
10,202,-7.48339753175161,0,0,1.66803034031858,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
1,203,-7.68078696041592,0,0,1.13338601629043,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
2,203,-7.36245801203932,0,0,3.22571713583189,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
3,203,-7.38413173003822,0,0,1.22785139112761,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
4,203,-7.45832725955279,0,0,1.50405829492311,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
5,203,-7.51311438574828,0,0,1.77980975691914,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
6,203,-7.72254606674429,0,0,1.35503297652449,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
7,203,-7.76398883318879,0,0,1.15872152341224,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
8,203,-7.33113506983707,0,0,1.64318079382621,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
9,203,-7.535678794539,0,0,1.09352307938693,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
10,203,-7.36520110531717,0,0,2.38091874334618,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
1,204,-7.63712265452154,0,0,1.11291516529235,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
2,204,-7.7765719673806,0,0,1.50684329510726,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
3,204,-7.39445868000849,0,0,1.67862544059403,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
4,204,-7.3626119211967,0,0,1.96258493707589,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
5,204,-7.02241495881975,0,0,1.28133136090197,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
6,204,-8.05027336111345,0,0,1.73133315083124,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
7,204,-7.73225029371974,0,0,1.46453437820209,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
8,204,-7.40463113420377,0,0,1.74089795896157,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
9,204,-7.57205194564486,0,0,2.24798703748712,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
10,204,-7.46311735106254,0,0,1.58503514000335,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
1,205,-8.06775937137647,0,0,1.92650603284071,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
2,205,-7.99564339128114,0,0,1.9736877227634,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
3,205,-7.84463615572988,0,0,2.05561164078788,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
4,205,-7.93119224559209,0,0,2.35624693945878,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
5,205,-7.9253599822194,0,0,1.94107568341279,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
6,205,-8.25351683011669,0,0,1.62377806483164,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
7,205,-7.80996498487381,0,0,2.18583882474531,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
8,205,-8.14291113162498,0,0,1.75791509645434,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
9,205,-7.8847194990838,0,0,2.02733444627761,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
10,205,-7.78302136645793,0,0,1.87280793813304,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
1,206,-7.43957294600008,0,0,3.7345803660324,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
2,206,-7.05032363808596,0,0,3.95564936873813,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
3,206,-7.95629586602324,0,0,3.68052194351429,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
4,206,-7.84871263280556,0,0,2.48942139090654,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
5,206,-8.058252117799,0,0,2.2043211307917,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
6,206,-7.91655265155067,0,0,2.87986709622283,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
7,206,-8.05162184943641,0,0,2.42500975482413,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
8,206,-7.62948547939215,0,0,2.27593414241174,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
9,206,-7.50731685242883,0,0,3.39932158651097,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
10,206,-7.73828185649268,0,0,4.06297025811818,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
