ID,time,y1,y1_simBlq,censored,split,color,filter
NHP34,23,2.67761,-3.51811,1,All,#4682B4,0
NHP34,29,2.67761,-3.88904,1,All,#4682B4,0
NHP4,0,2.67761,-1.91968,1,All,#4682B4,0
NHP4,2,2.67761,1.7508,1,All,#4682B4,0
NHP4,4,2.67761,1.52506,1,All,#4682B4,0
NHP4,5,2.67761,1.77095,1,All,#4682B4,0
NHP4,7,2.67761,-1.38869,1,All,#4682B4,0
NHP4,10,2.67761,-4.74605,1,All,#4682B4,0
NHP4,14,2.67761,-4.28896,1,All,#4682B4,0
NHP4,23,2.67761,-3.606,1,All,#4682B4,0
NHP4,29,2.67761,-2.1675,1,All,#4682B4,0
NHP5,0,2.67761,-3.21072,1,All,#4682B4,0
NHP5,1,5.36443,5.36443,0,All,#4682B4,0
NHP5,2,6.47786,6.47786,0,All,#4682B4,0
NHP5,3,5.24643,5.24643,0,All,#4682B4,0
NHP5,4,4.73125,4.73125,0,All,#4682B4,0
NHP5,5,5.80574,5.80574,0,All,#4682B4,0
NHP5,7,2.67761,2.00932,1,All,#4682B4,0
NHP5,10,2.67761,-1.87731,1,All,#4682B4,0
NHP5,14,2.67761,-2.09708,1,All,#4682B4,0
NHP5,23,2.67761,-1.52116,1,All,#4682B4,0
NHP5,29,2.67761,-2.12639,1,All,#4682B4,0
NHP6,0,2.67761,-3.18216,1,All,#4682B4,0
NHP6,1,6.00694,6.00694,0,All,#4682B4,0
NHP6,2,6.87935,6.87935,0,All,#4682B4,0
NHP6,3,6.39902,6.39902,0,All,#4682B4,0
NHP6,4,4.41886,4.41886,0,All,#4682B4,0
NHP6,5,5.68834,5.68834,0,All,#4682B4,0
NHP6,7,2.67761,1.2559,1,All,#4682B4,0
NHP6,10,2.67761,0.242289,1,All,#4682B4,0
NHP6,14,2.67761,-0.847583,1,All,#4682B4,0
NHP6,23,2.67761,-2.9381,1,All,#4682B4,0
NHP6,29,2.67761,-3.77532,1,All,#4682B4,0
