rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,106,-5.57677108939209,0,0,1.94013669151512,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
2,106,-5.78854538086396,0,0,1.75168132044519,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
3,106,-5.32845372957464,0,0,2.127682344195,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
4,106,-6.06245678166219,0,0,1.61776304352551,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
5,106,-5.2882567722443,0,0,1.83964902742519,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
6,106,-5.90768279614842,0,0,1.76878935047462,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
7,106,-5.19045564777236,0,0,2.19115608810328,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
8,106,-5.30599083384161,0,0,2.56674392560084,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
9,106,-5.36401651811028,0,0,1.96064941762489,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
10,106,-5.58043647829138,0,0,1.82852983064837,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
1,201,-6.31722828995622,0,0,1.804735561746,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
2,201,-5.9652812736651,0,0,2.19424365891689,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
3,201,-6.20586491256699,0,0,2.58888793830824,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
4,201,-6.50127901927484,0,0,1.92215473914762,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
5,201,-6.48529975719216,0,0,2.78752634392369,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
6,201,-6.17172309719851,0,0,2.34675611906521,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
7,201,-6.24764671566871,0,0,1.77512829111582,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
8,201,-6.26278030500614,0,0,1.82648601897025,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
9,201,-6.38679613342188,0,0,1.69323924815919,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
10,201,-6.58564605822199,0,0,1.90701895935834,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
1,202,-7.30102380906347,0,0,1.96597983943718,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
2,202,-7.09424199818495,0,0,1.90906598249226,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
3,202,-6.94533211161311,0,0,2.06356534419682,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
4,202,-7.43566538939389,0,0,1.93895024852378,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
5,202,-7.22443279020852,0,0,2.26560227433808,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
6,202,-6.94496701741092,0,0,2.85243772060044,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
